gene,label,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS,Intron,CADD_mean,CADD_var,EVE_mean,EVE_var
ABL1,1.0,3450.0,0.2898550724637681,0.0652173913043478,0.0,0.5942028985507246,0.0434782608695652,0.0434782608695652,0.0072463768115942,0.0,18.947370688212413,211.0,0.02867805,0.001863735488563,180.0,11.082236528893612,0.6801097389515153,0.0725642472851773,0.0601117707804422,0.0119404255319148,0.1461206244046837,0.0,0.0,144.0,10.0,1.0,1,19.488493055555548,140.19771348246888,0.5905252000000001,0.0497899442889241
ACVR1B,1.0,1641.0,0.1904761904761904,0.1071428571428571,0.0119047619047619,0.6785714285714286,0.0357142857142857,0.0119047619047619,0.0,0.0,18.91200486024989,371.0,0.02732437,0.0004295881827836,36.0,10.17783642381857,0.8104932471631506,0.0502086023256098,0.0292505332016237,0.0028663716814159,0.1413251448548744,6.0,1.0,114.0,2.0,0.0,11,21.153122807017542,110.09091025027172,0.4103664552020959,0.061054630203009
AKT1,1.0,1443.0,0.2317073170731707,0.0121951219512195,0.0,0.7560975609756098,0.3536585365853658,0.0,0.0,0.0,19.44105808731403,247.0,0.03599851,0.0027718450505091,253.0,11.916156242770676,0.5626466173136486,0.0905922789371416,0.0326686354559792,0.0343559322033898,0.1431052703327601,5.0,5.0,92.0,0.0,0.0,0,19.83379347826085,66.37965104479214,0.4103664552020959,0.061054630203009
ALK,1.0,4863.0,0.3181818181818182,0.0384615384615384,0.0174825174825174,0.6048951048951049,0.0139860139860139,0.0209790209790209,0.0,0.0,17.6254191906772,882.0,0.01878041,0.0001553712766941,62.0,2.7701703475837736,2.3712522179049604,0.1546215360940975,0.2081226650461972,0.0253595567867036,0.1268219747023109,6.0,0.0,289.0,6.0,0.0,3,18.400595155709357,123.35640867928198,0.4103664552020959,0.061054630203009
AMER1,1.0,3408.0,0.21285140562249,0.1526104417670682,0.0,0.5622489959839357,0.0120481927710843,0.072289156626506,0.0,0.0,15.821900511138876,443.1524831243973,0.002023752,4.096868566672422e-06,11.0,6.820470833403611,0.8372794353662344,0.2700440570750071,0.0947324593185327,0.0021435087719298,0.0845448515969373,51.0,9.0,286.0,18.0,6.0,0,14.755993006993004,110.12550297538957,0.4103664552020959,0.061054630203009
APC,1.0,8532.0,0.0782361308677098,0.3513513513513513,0.0227596017069701,0.3285917496443812,0.0,0.2176386913229018,0.0014224751066856,0.0,17.918885360043515,399.0,0.0275499,0.00118591806477,137.0,9.410789532947922,0.9989315689643412,0.252006912736126,0.2566320999348386,-0.0413451858108108,0.1629760338576157,8.0,0.0,558.0,106.0,48.0,1,28.241700716845887,102.88916535192055,0.4417604487179485,0.0724400888212635
AR,1.0,2763.0,0.2955974842767295,0.0628930817610062,0.0,0.5974842767295597,0.0188679245283018,0.0377358490566037,0.0062893081761006,0.0,16.696281594186832,443.1524831243973,-0.007090065,0.0016758639986555,226.0,4.552112405353785,2.9874070627978804,0.2805367917630931,0.2308170485351092,0.0112071428571428,0.1048125558019719,7.0,3.0,165.0,9.0,2.0,7,19.70299393939394,91.81963611581664,0.3107657500000001,0.0511739722165744
ARID1A,1.0,6858.0,0.0817051509769094,0.2539964476021314,0.0266429840142095,0.2912966252220249,0.0159857904085257,0.3463587921847247,0.0,0.0,19.89647151135277,182.0,0.02749164,0.0001071527173352,52.0,11.196460602789584,0.6819989235423652,0.0567516345824954,0.0488280245782548,-0.0196365979381443,0.1187129605426345,10.0,0.0,382.0,152.0,56.0,10,28.619994764397912,87.99566331755786,0.5348070483870968,0.0572427383597517
ARID1B,1.0,6750.0,0.2586206896551724,0.1,0.0034482758620689,0.5413793103448276,0.0,0.0896551724137931,0.0068965517241379,0.0,17.126901047619135,621.0,0.02726319,1.7388931612197068e-05,33.0,10.519443717963934,0.6552263504271482,0.0320681974112161,0.0167535726649412,-0.0222652278177458,0.147299297959578,23.0,0.0,274.0,37.0,6.0,4,21.67485401459853,115.81312221304243,0.5459391372549017,0.0858303501059207
ARID2,1.0,5508.0,0.1573770491803278,0.160655737704918,0.0229508196721311,0.5409836065573771,0.0393442622950819,0.1049180327868852,0.0131147540983606,0.0,19.64666663543411,602.0,0.01035756,4.172611937288468e-06,20.0,9.424041322283191,0.6811671279292301,0.2700440570750071,0.0947324593185327,0.0114369261477045,0.1745750462128311,16.0,0.0,292.0,32.0,10.0,6,24.066390410958917,96.7144171116603,0.4103664552020959,0.061054630203009
ASXL1,1.0,4626.0,0.2428571428571428,0.0761904761904762,0.0,0.6047619047619047,0.0142857142857142,0.0761904761904762,0.0,0.0,19.574553061834926,242.0,0.05736297,1.3581211090327996e-05,11.0,10.629224036459403,0.5453657100375898,0.02715568187085,0.0128735207420681,0.0573701986754966,0.1399082960274748,9.0,1.0,206.0,12.0,4.0,2,18.33520388349515,110.83717289481407,0.4103664552020959,0.061054630203009
